_id,screen_name,text
1405319015636115461,comediscos,"16 junio 27  aniversario Shout, no dije nada, ya se disfrutará, gracias a la grandes memorias que escribieron o visitaron, guardad los regalos!!! en Shout https://t.co/DLHT9DGJTN"
1405320845854134274,Jalex5,"Otra NOCHE más 🪐🌙 junto al maestro @fermin.ortiz.zitromusic #neversleep
#produccion #music #produccionmusical
🔥 🔥 🔥 en Madrid, Spain https://t.co/5pJP8rpBbg"
1405325119497641985,marcelogongora,"Las tormentas de primavera son de colores

#tormenta #tormento #primavera2021 #photostormphotography #photostorm #úbeda #ubeda en Andalusia https://t.co/wtIvutFTUE"
1405325169757917184,PandaOchy,"Cuando Esperanza Gracia nos quiere a @nosgoth86 (Piscis) y a un servidor (géminis) jajajajajaja en Playa de Oliva, Oliva https://t.co/FMsckdD14Z"
1405325672051089411,LuisFelipe0725,#lasmejoresvacaciones #mama #papa #españa en Cervera de Buitrago https://t.co/cxMMbetLjH
1405326189758226436,LuisFelipe0725,#españa #elmejorpais #graciasDios en Robledillo de la Jara https://t.co/JsSx956vAX
1405326243998883840,Stubylok,@debuxos_a_esgalla ha sacado su libro!!! 👏🏼👏🏼👏🏼 Puedes obtenerlo en https://t.co/tYrIKD2XPi en Villagarcía de Arosa https://t.co/S436kepHzr
1397628678876528640,BELYCAL,"Hoxe volvemos chapotear
A-L-i-N-A 💖
Alina mailo mar en Muelle de Arcade https://t.co/To7oo9nxhr"
1397628680013107200,Laverbeke,Mi amiga. ❤️ #👯‍♂️ #together  #friendship en ÉCHALE GUINDAS https://t.co/fxooyYAEIH
1397628869784612875,danigarciat94,"Enfócate en ti ! Al final lo único que puedes  controlar es a ti 💜 🖤 @ Madrid, Spain https://t.co/pw655JujP9"
1397629656887488516,abeniaadriana,"Llanes. Qué alegría volver a pasearte. Palacios de película, preciosas playas, pastelerías riquísimas y gente súper amable ♥️
(En la última foto se grabó El Orfanato) en Llanes https://t.co/Pet8cQP4BV"
1397629962274983938,mantekamartinez,"🕊️💒📿🙏💐""Camina siempre bajo la mirada del Buen Pastor, y evitarás pastizales envenenados""💐🙏📿⛪🕊️

🕯️Padre Pio, ruega por nosotros🔥 en Xixón. Asturies https://t.co/9QMqUbHlHE"
1397630052074938374,irenemv15,"dónde has tirado las promesas que dijimos... en Madrid, Spain https://t.co/h5eeifLuDP"
1397630057401798656,AndyWarrol,"Niños jugando con perrito muy quietos en Olvera, Spain https://t.co/eMuEt62yHF"
1397630674857861121,elenajuanes95,💜 en Valencia https://t.co/GSD5Wiaqwn
1397630719804026882,Richard_ARINAGA,"La cabeza no para de dar vueltas....

Siempre inventando! 😉 en Playa de Arinaga https://t.co/p9ZEpuFvqr"
1397631372366393353,justaneasyguy,"Disfrutando del paraíso 

#tuyyo #gaycouple #fuerteventura #paraíso en Playa Del Mal Nombre https://t.co/PwVc5KzLhv"
1397631397741871107,mantekamartinez,"💐""¿Te quieres casar conmigo?
No puedo...En mi familia
nos casamos entre nosotros...
Mi abuelo se casó con mi abuela, 
mi tío se ha casado con mi tía 
y mi papá se ha casado con mi mamá""❤️ https://t.co/uxepW86syv"
1397631474669608965,LuisNembra,"Insistir, persistir, resistir y nunca desistir 💪🏼😉 en Avilés https://t.co/gDV56PpyVY"
1397632007128104960,VizDv92,Si pruebas de su manzana te enganchará su veneno 💕 en Madrid Centro https://t.co/GFpe40pTRd
