userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas,Renta_zona_usuario,sentiment
784655,maikelnai,0.08,0.17,0.0,0.0,0.0,0.0,0.25,0.0,1.17,0.5,0.58,0.83,0.25,1.08,0.08,0.0,0.0,0.0,0.0,2.17,1.75,3.92,1.42,0.33,0.75,0.75,2.42,2.17,2.25,0.25,0.0,0.0,0.08,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,6.83,3.0,4.75,2.42,1.0,0.83,1.67,0.5,0.08,0.17,0.08,0.17,0.0,0.08,0.5,4.97,3.5,15050.0,0.04
785761,josecrem,0.0,0.44,0.06,0.0,0.12,0.06,0.5,0.0,1.44,0.62,0.75,1.0,0.38,1.12,0.06,0.0,0.12,0.06,0.0,0.94,2.38,3.31,1.75,0.25,1.0,1.0,1.31,1.31,2.0,0.19,0.06,0.0,0.12,0.0,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.31,0.94,7.47,4.62,6.62,0.81,0.62,0.62,2.06,0.62,0.31,0.25,0.5,0.06,0.0,0.12,0.62,4.04,4.06,15750.0,0.19
1724941,cuellar,0.3,0.86,0.07,0.0,0.14,0.05,1.16,0.05,3.12,1.74,1.07,2.47,0.47,2.26,0.3,0.0,0.37,0.12,0.12,1.88,3.88,5.77,2.72,0.79,2.02,1.44,2.3,2.26,3.49,1.26,0.26,0.09,0.56,0.0,0.51,0.51,0.16,0.02,0.05,0.0,0.02,0.4,0.26,0.81,5.75,2.84,4.65,1.14,0.93,1.35,2.07,1.3,0.6,0.23,0.91,0.3,0.09,0.14,1.21,5.75,7.67,11550.0,0.11
2902311,neojams,0.0,0.64,0.09,0.0,0.45,0.09,0.73,0.0,1.18,0.18,0.55,0.73,0.09,0.18,0.45,0.0,0.36,0.09,0.09,1.09,1.91,3.0,1.27,0.0,0.55,0.73,1.73,1.73,1.45,0.18,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1.0,7.44,3.73,5.36,0.36,0.36,0.55,0.27,0.36,0.0,0.27,0.27,0.0,0.0,0.0,0.36,4.36,3.91,15750.0,0.14
7664852,JoseM_SGP,0.43,1.4,0.06,0.03,0.55,0.11,1.84,0.11,2.48,1.4,0.75,1.84,0.52,1.5,0.33,0.0,0.48,0.12,0.13,1.24,3.76,5.0,2.4,0.89,1.82,1.41,1.77,1.7,2.78,1.43,0.34,0.05,0.63,0.0,0.77,0.3,0.22,0.07,0.05,0.01,0.01,0.06,0.11,0.8,6.01,3.48,4.65,3.03,0.89,1.84,2.35,1.28,0.59,0.28,0.94,0.3,0.02,0.09,1.26,5.72,7.74,12950.0,0.01
11192212,JeffreyHerrero,0.16,0.47,0.0,0.0,0.32,0.07,0.61,0.02,1.25,0.44,0.7,0.95,0.26,0.72,0.11,0.0,0.35,0.05,0.07,1.6,2.44,4.04,1.84,0.35,0.82,1.33,1.88,1.84,2.4,0.49,0.14,0.11,0.3,0.02,0.21,0.11,0.12,0.02,0.02,0.0,0.07,0.88,0.07,1.0,6.74,3.6,4.96,2.12,1.39,0.42,1.18,0.44,0.12,0.18,0.37,0.07,0.02,0.02,0.42,4.29,4.61,15750.0,0.23
11625152,darioalvarez,0.69,1.79,0.18,0.01,0.58,0.09,2.54,0.11,6.2,3.17,2.27,4.75,1.13,4.22,0.76,0.0,0.88,0.2,0.32,2.72,8.46,11.18,5.59,2.12,3.96,3.59,3.64,3.48,6.03,1.63,0.28,0.1,0.46,0.0,0.74,0.51,0.22,0.04,0.06,0.0,0.05,0.01,0.08,1.03,5.71,2.65,4.69,1.53,0.83,3.65,4.88,2.89,1.15,0.84,2.16,0.65,0.09,0.18,2.78,7.63,14.66,16450.0,0.01
12105232,AraqueAuron,0.15,0.6,0.03,0.01,0.28,0.06,0.75,0.04,1.45,0.7,0.45,0.97,0.35,0.82,0.3,0.0,0.23,0.05,0.13,1.83,3.07,4.89,1.4,0.85,1.33,0.88,2.68,2.64,2.39,0.47,0.07,0.03,0.2,0.0,0.29,0.09,0.04,0.01,0.02,0.01,0.01,0.1,0.28,0.55,6.19,4.31,5.4,1.31,0.81,1.4,1.93,0.7,0.23,0.22,0.46,0.19,0.02,0.03,0.67,4.58,5.22,15400.0,0.05
14080461,c_devega,0.25,1.5,0.0,0.0,0.75,0.25,1.75,0.0,2.0,0.75,1.25,1.75,0.5,1.25,0.0,0.0,0.75,0.0,0.0,1.75,3.75,5.5,2.75,1.0,1.25,2.5,1.75,1.75,2.5,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,6.29,3.5,5.38,2.75,2.0,1.5,2.75,1.0,0.75,0.25,0.5,0.5,0.0,0.0,1.0,3.95,7.0,13650.0,0.48
14567108,MaryRuiz_es,0.2,0.94,0.1,0.01,0.33,0.1,1.2,0.04,1.53,0.73,0.6,1.27,0.26,0.83,0.2,0.0,0.3,0.13,0.19,0.82,2.21,3.02,1.62,0.4,0.98,0.99,1.06,1.01,1.7,1.08,0.17,0.07,0.67,0.0,0.69,0.14,0.12,0.08,0.03,0.01,0.02,1.13,0.27,0.33,5.7,3.7,4.72,1.06,0.86,1.36,1.35,0.84,0.29,0.25,0.63,0.17,0.04,0.07,0.79,4.39,4.89,12250.0,0.32
