userid,id_tweet,screen_name,created_at,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
223259533,_1462751658732097541,Von_Eristoff,2021-11-22T11:55:46.000Z,"Ya no hay buenos días, sólo días sin podium de Alonso.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,2,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,2,4,2,2,3,2,1,1,0,0,0,0,0,1,6.2,5
223259533,_1462752485668442114,Von_Eristoff,2021-11-22T11:59:03.000Z,"Alonso podium, yo con una camiseta y una camisa encima… Agárrense fuerte señoras y señores porque nos vamos a 2005.",0,1,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,3,5,8,2,2,1,3,4,4,2,2,0,0,1,0,2,0,0,0,0,0,0,,0,0,0,4.8,6,5.5,1,1,1,2,1,0,0,1,0,0,0,1,7.222222222222222,9
223259533,_1462770050167885827,Von_Eristoff,2021-11-22T13:08:51.000Z,"Todo el que me siga sabe que soy muy español y también mucho español, pero lo del nuevo DNI es demasiado. Acabo de renovarlo y no le cabe una bandera más, si ponen otra mención a la patria tienen que quitar el nombre de mis padres.",0,8,0,1,0,7,1,9,5,3,8,0,1,1,0,0,0,0,1,6,7,5,1,3,3,1,1,4,5,1,0,3,0,4,1,0,0,0,0,0,,0,0,0,4.043478260869565,2,3.5,2,2,3,4,2,2,0,2,0,0,0,2,6.947368421052632,19
223259533,_1462781850590621698,Von_Eristoff,2021-11-22T13:55:45.000Z,"¿Recordáis el capítulo donde Marshall come comida en mal estado y sabe que en unas pocas horas se va a poner malísimo? Pues ese soy yo ahora antes de ponerme la segunda vacuna. Voy a comer bien, jugar al ordenador, acabar lo de la universidad pendiente y hacer mi testamento.",1,5,0,5,0,6,0,7,2,4,5,0,1,1,0,0,0,0,1,9,10,8,1,4,4,2,1,7,8,2,0,3,0,6,0,1,1,0,0,0,,0,0,0,4.52,2,4.0,0,0,3,6,2,0,1,2,0,0,1,2,8.142857142857142,21
223259533,_1462817534974042113,Von_Eristoff,2021-11-22T16:17:32.000Z,En otoño siempre hecho de menos Oviedo y sus servicios de limpieza que desde que cae una hoja al suelo pasan no más de 10 segundos hasta que la limpian.,0,3,0,0,0,3,0,3,1,1,2,0,1,1,0,0,0,0,1,6,7,4,2,4,2,1,1,7,2,0,1,1,0,1,1,0,0,0,0,0,,0,0,0,4.1,2,3.0,1,1,1,1,1,1,0,1,0,0,0,1,11.166666666666666,12
223259533,_1462821161209901064,Von_Eristoff,2021-11-22T16:31:57.000Z,"Podéis guardar este tuit porque pocas veces tendréis ocasión de ver a alguien corregirme. Efectivamente, he tenido un error, como sin duda le ha pasado a nuestro amigo al no acentuar “también”.",2,2,0,2,0,4,1,6,4,1,4,0,1,1,0,0,0,0,0,6,6,5,1,3,3,0,0,5,4,0,0,3,0,3,0,1,0,0,0,0,,0,0,0,5.0625,2,5.0,0,0,4,4,0,0,0,0,0,0,0,0,6.2,15
223259533,_1462822988030652419,Von_Eristoff,2021-11-22T16:39:12.000Z,"Un fallo es un fallo. El jogo bonito no puntúa en el marcador, sólo cuando la pelota cruza la línea.",1,2,0,0,0,3,0,6,4,2,6,0,0,0,0,0,0,0,1,5,6,5,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4.05,2,4.0,2,2,3,3,1,1,0,1,0,0,0,1,4.875,8
223259533,_1462823373386526725,Von_Eristoff,2021-11-22T16:40:44.000Z,Tengo el corazón roto.,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4.75,5,5.0,0,0,1,1,1,1,0,1,0,0,0,1,3.5,2
223259533,_1462883345373802502,Von_Eristoff,2021-11-22T20:39:03.000Z,Todo llega para el que sabe esperar. en Hostafrancs (Barcelona Metro) https://t.co/vELXk4gfY0,0,2,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,2,2,1,0,1,0,0,1,1,0,0,0,0,,0,0,1,6.833333333333333,4,4.5,0,0,0,3,0,0,0,0,0,0,0,0,4.4,5
223259533,_1462897882365927424,Von_Eristoff,2021-11-22T21:36:49.000Z,La gente que habla por hablar de cualquier cosa y además lo hacen sin saber me dan un asco terrible.,0,3,0,2,0,3,0,2,1,1,3,0,0,0,0,0,0,0,0,4,4,4,0,2,2,0,0,3,5,1,0,2,0,4,1,0,0,0,0,0,,0,0,0,4.05,2,3.5,0,0,1,1,1,0,0,1,0,0,0,1,8.375,8
223259533,_1462913789993664515,Von_Eristoff,2021-11-22T22:40:01.000Z,¿Aún no se ha acabado la navidad??,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,4,2,2,0,0,1,3,0,0,0,0,0,0,0,0,5,2
223259533,_1462914291108093952,Von_Eristoff,2021-11-22T22:42:01.000Z,"Lo ha tenido que escribir riendo como en la entrevista en la que dije que uno de mis defectos era que era muy perfeccionista jajjajaja me faltó decir que me considero muy mal empleado porque incluso aceptaría cobrar menos, muy en el espíritu de Debora",5,2,0,3,1,7,0,3,1,2,3,0,0,0,0,0,0,0,2,3,5,2,1,2,1,2,2,5,5,2,0,4,0,3,1,1,0,0,0,0,,0,0,0,4.6,3,3,2,1,3,1,2,1,0,2,0,0,0,2,12,19
223259533,_1462922834112614400,Von_Eristoff,2021-11-22T23:15:58.000Z,"Sé que se me acaba el tiempo. En cinco horas me sonará el despertador y el estar sano sólo será un sueño lejano. No consigo sobreponerme al desánimo, sólo escribir estas modestas líneas.",0,3,2,1,0,5,0,7,5,1,5,0,1,1,0,0,0,0,0,7,7,5,2,5,2,0,0,2,4,0,0,2,0,4,0,0,0,0,0,0,,0,0,0,4.666666666666667,2,4,3,2,7,4,3,2,1,2,0,0,0,3,5.923076923076923,13
223259533,_1462931054222839815,Von_Eristoff,2021-11-22T23:48:37.000Z,"La lista de lo más escuchado de Spotify y la paga extra, las cosas que más me gustan de la navidad.",0,1,0,0,0,1,0,4,0,4,3,0,0,0,0,0,0,0,2,3,5,2,1,0,3,2,2,3,3,1,0,2,0,2,1,0,0,0,0,0,,0,0,0,3.761904761904762,2,3,1,1,2,2,2,1,0,2,0,0,0,2,7.428571428571429,7
223259533,_1462933380434219009,Von_Eristoff,2021-11-22T23:57:52.000Z,Acabo de decir que mi trabajo si no fuese por la gente no sería tan malo. Trabajo de cara al público. Luego he recordado que el sueldo tampoco es bueno. Me quiero ir a la verga.,1,4,0,2,0,5,1,5,3,2,6,0,1,0,0,0,0,0,1,6,7,5,0,3,2,2,2,4,1,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,3.9444444444444446,2,3.0,0,0,2,4,2,2,0,2,0,0,0,2,5.8,15
223259533,_1463065511248416773,Von_Eristoff,2021-11-23T08:42:54.000Z,"Espero que estar vacunado me esté salvando de morir porque de momento estoy en el trabajo con fiebre, escalofríos, dolor de cabeza, náuseas y ganas de morirme.",0,3,0,2,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,7,7,4,2,2,4,1,1,6,2,0,0,1,0,2,0,0,0,0,0,0,,0,0,0,4.925925925925926,2,5,3,1,3,4,2,1,0,1,0,0,0,2,6.846153846153846,13
223259533,_1463112599176978439,Von_Eristoff,2021-11-23T11:50:01.000Z,"Estoy trabajando enfermo con la megafonía estropeada, los de al lado gritando, el sistema caído y por 1100 euros al mes; si la empresa le parece mala o cara quéjese a alguien que mande algo aquí, que yo también estoy harto.",0,4,0,0,1,3,1,7,4,2,5,0,2,1,0,0,0,0,1,8,9,6,0,3,3,3,3,6,5,0,0,4,0,2,1,2,0,0,0,0,,0,0,0,4.463414634146342,2,4,2,2,5,5,4,2,2,4,0,0,0,4,8.857142857142858,14
