userid,Numero_pasados,Numero_presentes,Numero_futuros,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
7664852,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.5,1.5,3.5,0.5,3.0,0.0,0,1.0,0.0,0.0,5.0,4.0,9.0,3.0,0.5,2.0,1.5,5.5,5.5,5.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0.5,0.0,0,0.0,0.0,1.0,4.502351097178684,1.5,3.0,3.0,1.5,1.5,1.5,2.5,1.0,1.0,2.5,0,0.0,0.0,2.5,7.780303030303031,8.5
11625152,3.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,3.0,3.0,2.5,4.0,5.0,2.0,0,0.5,0.0,0.5,5.5,8.5,14.0,3.5,3.5,2.5,4.0,7.5,7.0,8.0,1.0,0.0,0.0,0.0,0,0.5,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.5,5.032218992248062,3.0,3.5,3.5,2.0,4.0,8.5,2.0,0.5,1.0,1.0,0,0.0,0.0,2.0,8.597222222222221,19.0
16798736,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.5,0.5,1.0,1.5,0.0,1.5,0.0,0,0.0,0.0,0.0,4.0,3.0,7.0,2.0,0.0,0.5,1.5,5.0,5.0,4.0,0.5,0.5,0.0,0.5,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.2149758454106285,2.0,4.0,3.5,2.0,1.0,2.0,1.0,0.5,0.0,1.0,0,0.0,0.0,1.0,4.6,7.5
18901057,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.0,0.0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,4.0,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.6666666666666665,0.3333333333333333,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.6666666666666666,6.089169000933706,2.6666666666666665,4.666666666666667,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0,0.0,0.0,1.3333333333333333,5.172222222222222,5.333333333333333
30481974,3.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,0.0,0,3.0,0.0,0.0,6.0,7.0,13.0,4.0,1.0,3.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.605263157894737,2.0,4.0,6.0,3.0,3.0,6.0,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,7.8125,16.0
51654407,0.5,0.0,0.0,0.5,0.0,0.0,0.5,4.0,2.5,1.5,2.0,2.0,4.0,0.0,0,0.0,0.0,0.0,3.5,2.5,6.0,1.5,1.0,0.5,2.0,3.5,3.5,2.5,1.0,0.5,0.0,0.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0,0.0,1.0,0.0,5.559681697612733,2.5,5.5,3.0,2.5,1.0,3.5,2.0,1.5,0.5,1.5,0,0.0,0.0,2.0,7.825,7.0
80961454,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0,1.0,0.5,1.5,0.0,1.0,0.5,0,0.0,0.5,0.0,3.0,3.0,6.0,2.0,0.5,2.0,0.5,3.5,3.5,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,7.460526315789474,4.5,5.5,2.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0,0.0,0.0,1.0,6.071428571428571,4.0
84377438,1.0,2.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,3.0,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.0,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.0,2.3333333333333335,1.6666666666666667,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.0,0.0,0.0,2.3333333333333335,0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0.0,0.0,0.3333333333333333,4.432539682539683,2.6666666666666665,3.6666666666666665,0.0,0.0,1.0,2.3333333333333335,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.1000000000000005,6.333333333333333
100316573,0.0,2.5,0.5,1.0,0.0,3.0,0.0,2.0,1.5,0.0,1.5,0.5,1.5,0.5,0,0.0,0.0,0.5,1.5,3.0,4.5,2.0,1.0,1.5,1.5,1.5,1.5,3.0,3.0,0.5,0.0,1.5,0,2.0,0.0,0.5,0.5,0.0,0.0,0,3.0,0.0,1.0,6.64527027027027,3.0,4.5,0.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0,0.5,0.0,0.0,7.071428571428571,8.0
117884436,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0,1.0,6.391304347826087,7.0,5.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.714285714285714,7.0
149403185,0.0,2.5,0.0,0.0,0.0,1.0,1.5,1.5,0.0,1.0,1.0,0.0,0.5,0.5,0,0.5,0.0,0.0,2.5,2.5,5.0,1.5,1.0,1.0,1.5,2.5,2.5,2.0,1.5,0.5,0.0,1.0,0,1.0,0.5,0.0,0.0,0.0,0.0,0,0.5,0.5,0.5,7.444444444444445,7.5,5.5,1.5,1.0,1.0,4.5,1.0,0.5,0.0,0.5,0,0.0,0.0,1.0,4.479166666666666,7.0
150618405,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,3.0,2.0,1.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0,6.0,1.0,2.0,7.260869565217392,4.0,4.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,0,0.0,0.0,2.0,5.909090909090909,11.0
150624922,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,3.0,0.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,1.0,0.3333333333333333,0,0.0,0.3333333333333333,0.0,1.6666666666666667,3.0,4.666666666666667,2.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.0,2.6666666666666665,0.0,0.0,1.6666666666666667,0,2.3333333333333335,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.3333333333333333,4.973219373219373,2.0,3.5,2.0,1.3333333333333333,1.6666666666666667,5.666666666666667,1.0,0.6666666666666666,0.3333333333333333,1.0,0,0.0,0.0,1.0,6.232323232323233,6.666666666666667
