userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_constituyente,Numero_constituyentes,Renta_zona_usuario,sentiment
617383,jopemoro,0.23,0.88,0.02,0.0,0.53,0.07,1.07,0.02,1.88,0.91,0.84,1.53,0.4,1.37,0.14,0.0,0.26,0.09,0.19,1.53,3.14,4.67,1.98,0.67,1.14,1.44,2.09,2.02,3.84,0.88,0.12,0.07,0.42,0.14,0.53,0.12,0.23,0.0,0.0,0.0,0.0,1.58,3.4,1.16,6.81,3.37,5.33,1.16,0.95,0.95,2.56,0.79,0.09,0.3,0.63,0.16,0.0,0.09,0.79,6.08,6.37,20650.0,0.47
4247801,luisjorge54,0.46,0.8,0.03,0.0,0.26,0.03,1.23,0.06,1.17,0.71,0.31,1.03,0.17,0.74,0.14,0.0,0.2,0.06,0.17,0.43,2.29,2.71,1.51,0.31,0.97,0.83,0.91,0.89,2.03,1.0,0.23,0.03,0.46,0.11,0.51,0.31,0.11,0.0,0.03,0.03,0.0,0.17,0.17,0.34,5.43,3.11,4.39,0.89,0.83,1.26,1.2,0.74,0.26,0.34,0.69,0.06,0.03,0.06,0.71,4.54,4.54,21350.0,0.16
5179651,pvil,0.26,0.69,0.04,0.02,0.23,0.09,0.95,0.05,2.53,1.05,1.05,2.01,0.65,1.73,0.44,0.0,0.24,0.11,0.49,1.65,4.45,6.1,2.75,1.24,1.94,1.95,2.21,2.11,3.2,0.92,0.17,0.08,0.53,0.17,0.5,0.19,0.12,0.09,0.02,0.01,0.02,0.22,1.94,0.98,7.02,3.81,5.53,1.17,0.74,1.4,3.4,1.32,0.53,0.36,0.89,0.33,0.02,0.17,1.31,4.97,7.88,26950.0,0.15
9685402,garci,0.42,1.83,0.12,0.0,0.48,0.4,2.21,0.17,2.46,1.29,0.75,1.9,0.5,1.31,0.42,0.0,0.44,0.25,0.25,0.88,3.25,4.12,2.06,0.83,1.69,1.23,1.21,1.23,2.46,2.25,0.56,0.02,1.04,0.46,1.46,0.5,0.21,0.08,0.0,0.0,0.0,0.23,0.15,0.6,5.32,2.5,4.05,1.15,0.94,1.81,3.08,1.1,0.5,0.19,0.94,0.12,0.02,0.02,1.08,5.71,7.58,20650.0,0.25
11123932,enriquembermejo,0.12,1.08,0.04,0.0,0.58,0.0,1.19,0.04,3.15,1.77,1.23,2.73,0.92,2.19,0.15,0.0,0.31,0.08,0.88,0.42,5.04,5.46,3.19,1.23,1.81,2.42,1.23,1.04,4.08,1.62,0.46,0.15,0.46,0.62,0.62,0.12,0.35,0.08,0.08,0.04,0.35,0.04,2.31,0.31,6.39,3.42,5.79,0.69,0.65,1.5,2.04,1.62,0.58,0.35,1.38,0.19,0.12,0.12,1.5,6.01,8.15,20650.0,0.47
12286562,lylmik,2.0,4.0,0.0,0.0,2.0,0.0,4.0,2.0,6.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,13.0,24850.0,-0.97
14341583,toniortiz,0.54,1.84,0.03,0.02,0.51,0.12,2.28,0.17,3.18,1.44,1.22,2.47,0.65,1.69,0.53,0.0,0.65,0.3,0.35,1.65,4.52,6.17,3.05,0.98,2.08,1.9,2.18,2.14,3.2,1.98,0.26,0.11,1.08,0.23,1.23,0.37,0.22,0.1,0.04,0.02,0.02,0.37,0.01,0.53,5.25,2.96,4.31,1.66,0.83,1.94,2.86,1.53,0.55,0.39,1.18,0.32,0.07,0.08,1.46,6.29,9.25,24150.0,0.19
15703541,wbdnewton,0.5,0.5,0.0,0.0,0.25,0.0,1.0,0.0,0.75,0.25,0.25,0.5,0.25,0.5,0.25,0.0,0.0,0.0,0.25,0.5,1.25,1.75,0.75,0.25,0.5,0.5,0.75,0.75,1.5,0.75,0.25,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.5,8.43,5.0,6.12,0.75,0.75,0.5,2.0,1.25,0.25,0.0,0.25,0.5,0.0,0.0,1.25,3.53,4.25,19250.0,0.23
15870177,LaBischita,0.06,1.23,0.0,0.0,0.87,0.03,1.26,0.03,1.55,0.39,1.1,1.35,0.16,0.52,0.06,0.0,0.77,0.16,0.06,1.0,2.06,3.06,1.52,0.32,0.55,1.19,1.32,1.23,1.94,0.77,0.06,0.06,0.35,0.13,0.32,0.13,0.23,0.03,0.0,0.0,0.06,0.35,0.32,0.97,6.91,4.29,4.66,0.77,0.61,0.61,0.87,0.29,0.1,0.1,0.23,0.03,0.0,0.0,0.29,4.15,4.97,19950.0,0.22
16381230,grahunt,0.5,0.83,0.0,0.0,1.33,0.0,1.33,0.0,3.5,2.17,0.67,2.5,0.83,2.33,0.67,0.0,0.0,0.33,0.5,2.17,4.17,6.33,2.67,1.17,2.5,1.17,2.67,2.5,5.33,1.33,0.5,0.0,1.0,0.0,0.33,0.17,0.83,0.0,0.0,0.0,0.0,0.0,0.5,0.83,5.66,2.17,4.67,2.33,1.17,1.33,2.17,1.17,0.67,0.0,0.83,0.17,0.0,0.0,1.17,6.27,10.0,21350.0,-0.1
