userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_constituyente,Numero_constituyentes,Renta_zona_usuario,sentiment
1724941,cuellar,0.3,0.86,0.07,0.0,0.14,0.05,1.16,0.05,3.12,1.74,1.07,2.47,0.47,2.26,0.3,0.0,0.37,0.12,0.12,1.88,3.88,5.77,2.72,0.79,2.02,1.44,2.3,2.26,3.49,1.28,0.26,0.09,0.53,0.09,0.56,0.49,0.16,0.02,0.05,0.0,0.02,0.4,0.26,0.81,5.75,2.84,4.65,1.14,0.93,1.35,2.07,1.3,0.6,0.23,0.91,0.3,0.09,0.14,1.21,5.75,7.67,11550.0,0.11
7664852,JoseM_SGP,0.43,1.4,0.06,0.03,0.55,0.11,1.84,0.11,2.48,1.4,0.75,1.84,0.52,1.5,0.33,0.0,0.48,0.12,0.13,1.24,3.76,5.0,2.4,0.89,1.82,1.41,1.77,1.7,2.78,1.45,0.33,0.05,0.62,0.27,0.81,0.3,0.21,0.06,0.05,0.01,0.01,0.06,0.11,0.8,6.01,3.48,4.65,3.03,0.89,1.84,2.35,1.28,0.59,0.28,0.94,0.3,0.02,0.09,1.26,5.72,7.74,12950.0,0.01
14080461,c_devega,0.25,1.5,0.0,0.0,0.75,0.25,1.75,0.0,2.0,0.75,1.25,1.75,0.5,1.25,0.0,0.0,0.75,0.0,0.0,1.75,3.75,5.5,2.75,1.0,1.25,2.5,1.75,1.75,2.5,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,6.29,3.5,5.38,2.75,2.0,1.5,2.75,1.0,0.75,0.25,0.5,0.5,0.0,0.0,1.0,3.95,7.0,13650.0,0.48
14567108,MaryRuiz_es,0.2,0.94,0.1,0.01,0.33,0.1,1.2,0.04,1.53,0.73,0.6,1.27,0.26,0.83,0.2,0.0,0.3,0.13,0.19,0.82,2.21,3.02,1.62,0.4,0.98,0.99,1.06,1.01,1.7,1.21,0.19,0.1,0.72,0.11,0.8,0.15,0.13,0.09,0.03,0.01,0.02,1.13,0.27,0.33,5.7,3.7,4.72,1.06,0.86,1.36,1.35,0.84,0.29,0.25,0.63,0.17,0.04,0.07,0.79,4.39,4.89,12250.0,0.32
16476480,jmorenol,0.44,1.89,0.11,0.0,0.56,0.11,2.22,0.22,2.33,0.89,1.22,2.0,0.56,1.56,0.22,0.0,0.22,0.33,0.44,0.67,4.56,5.22,3.22,0.67,1.44,2.44,1.33,1.33,3.0,3.0,0.56,0.0,1.11,0.44,2.0,0.67,0.22,0.11,0.0,0.0,0.0,0.22,0.33,0.44,5.33,2.56,4.11,1.22,1.0,1.89,2.89,1.0,0.33,0.22,0.67,0.33,0.22,0.0,0.78,5.96,9.11,12950.0,-0.16
17151860,WirrIst_DasVolk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.5,7.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,12250.0,-0.09
18776130,rosaswarez,0.16,0.81,0.03,0.01,0.21,0.1,0.89,0.11,1.69,0.93,0.52,1.37,0.27,1.03,0.24,0.0,0.22,0.13,0.16,1.04,2.29,3.32,1.64,0.4,1.14,0.87,1.31,1.29,1.86,0.92,0.23,0.06,0.51,0.15,0.54,0.13,0.13,0.09,0.0,0.01,0.04,1.05,0.92,0.4,6.76,4.49,5.85,1.05,0.8,1.08,2.78,0.73,0.3,0.19,0.56,0.14,0.03,0.05,0.69,4.24,5.0,11550.0,0.19
20937876,PerfeArias,0.18,0.82,0.0,0.0,0.27,0.05,1.0,0.0,1.18,0.32,0.64,0.68,0.36,0.68,0.23,0.0,0.14,0.09,0.0,2.36,2.36,4.73,1.41,0.77,0.73,1.41,2.59,2.55,2.45,0.82,0.09,0.09,0.41,0.23,0.5,0.14,0.09,0.09,0.0,0.0,0.0,0.27,0.0,1.0,6.25,3.23,4.95,1.59,1.27,1.0,4.64,0.32,0.14,0.05,0.32,0.0,0.09,0.0,0.23,4.8,5.5,13650.0,0.01
23431939,linandara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.33,6.33,0.67,0.0,0.0,0.67,5.67,5.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,1.0,7.18,3.33,6.0,4.0,1.33,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,1.33,8750.0,0.17
24855284,marcodipalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,10.63,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12250.0,0.98
26592794,felipegarona,0.29,0.71,0.07,0.0,0.5,0.07,1.07,0.0,2.0,1.21,0.71,1.64,0.36,0.93,0.07,0.0,0.43,0.14,0.36,1.29,2.57,3.86,1.93,0.36,1.14,1.14,1.57,1.57,2.71,1.14,0.43,0.0,0.29,0.14,0.43,0.29,0.14,0.0,0.0,0.0,0.29,0.5,1.64,0.79,7.95,4.36,7.21,0.79,0.79,0.93,0.93,0.57,0.21,0.14,0.29,0.14,0.0,0.0,0.57,4.77,5.64,11550.0,0.2
26820242,McTalobos,0.75,0.25,0.0,0.0,0.5,0.0,1.0,0.0,2.0,1.0,0.75,1.5,0.25,1.5,0.25,0.0,0.25,0.0,0.0,1.75,2.0,3.75,2.0,0.0,1.0,1.0,1.75,1.75,2.75,1.0,0.75,0.0,0.75,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,6.8,4.0,4.5,3.0,1.5,0.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,5.0,13650.0,-0.23
30445634,mjcerval,0.14,1.0,0.07,0.0,0.5,0.14,1.14,0.0,2.57,1.57,0.64,2.07,1.43,1.71,0.36,0.0,0.43,0.07,1.21,3.0,3.64,6.64,1.86,1.43,2.21,1.07,3.36,3.36,2.71,0.79,0.07,0.0,0.21,0.21,0.43,0.21,0.0,0.0,0.0,0.14,0.0,2.0,1.29,1.0,6.35,3.29,5.14,2.79,1.43,0.71,4.14,0.93,0.5,0.14,0.57,0.29,0.07,0.07,0.86,5.17,7.57,11550.0,0.69
36488556,Barbuzard,0.06,0.5,0.02,0.0,0.43,0.04,0.57,0.0,1.69,1.09,0.44,1.46,0.15,1.07,0.15,0.0,0.3,0.17,0.04,1.93,2.61,4.54,1.74,0.13,1.11,0.74,2.69,2.67,2.43,0.33,0.04,0.0,0.17,0.02,0.17,0.04,0.07,0.06,0.0,0.0,0.0,0.15,3.74,1.02,7.26,3.52,5.79,2.26,1.85,0.59,1.56,0.65,0.28,0.19,0.57,0.02,0.04,0.04,0.61,4.56,4.74,12950.0,0.41
40444023,luismiglesias,0.18,0.96,0.05,0.01,0.44,0.13,1.11,0.08,2.95,1.45,1.14,2.17,0.62,2.0,0.36,0.0,0.36,0.13,0.17,0.78,5.04,5.82,3.27,1.45,2.27,2.38,1.17,1.11,3.48,0.98,0.2,0.05,0.43,0.11,0.49,0.18,0.13,0.05,0.07,0.03,0.03,0.31,0.81,0.73,6.73,4.17,5.81,0.75,0.63,2.22,2.82,1.72,0.73,0.5,1.15,0.55,0.04,0.05,1.65,5.73,8.02,10850.0,0.16
42286343,ludthor,0.64,0.91,0.0,0.18,1.09,0.09,1.45,0.18,2.91,1.64,1.0,3.18,0.27,1.64,0.27,0.0,0.64,0.27,0.82,0.73,4.91,5.64,3.82,0.82,2.36,2.18,1.09,1.0,4.27,1.73,0.0,0.09,0.82,0.0,0.64,0.36,0.64,0.09,0.0,0.0,0.0,0.73,0.09,0.64,5.58,2.55,4.59,1.27,0.73,2.09,2.55,1.09,0.45,0.27,0.91,0.18,0.0,0.09,1.09,6.43,9.82,12950.0,-0.1
42862692,cactitus,0.53,1.41,0.06,0.03,0.44,0.09,1.88,0.16,1.31,0.61,0.53,1.15,0.23,0.71,0.16,0.0,0.25,0.16,0.21,0.79,1.88,2.67,1.27,0.41,0.82,0.84,1.01,1.0,1.47,1.94,0.49,0.07,1.27,0.18,1.41,0.19,0.24,0.03,0.04,0.01,0.04,0.07,0.31,0.22,5.21,3.25,4.24,1.1,0.86,1.24,2.74,0.69,0.25,0.16,0.53,0.14,0.05,0.02,0.64,4.66,5.58,10850.0,0.13
42893710,Lezard82,0.52,1.74,0.0,0.01,0.49,0.13,2.17,0.09,3.04,1.18,1.4,2.16,0.79,1.87,0.45,0.0,0.36,0.3,0.29,1.01,4.44,5.45,2.91,1.06,1.48,2.44,1.53,1.48,3.25,1.94,0.25,0.05,0.95,0.27,1.21,0.23,0.23,0.13,0.1,0.03,0.0,1.19,0.3,0.53,5.44,2.86,4.43,1.9,1.12,1.4,3.87,1.48,0.42,0.4,0.91,0.25,0.01,0.12,1.47,5.56,9.18,11550.0,0.07
44210076,JordiMayor,0.43,3.57,0.57,0.0,1.86,0.29,4.43,0.14,5.14,2.29,2.0,3.0,1.43,2.86,0.86,0.0,0.57,0.43,0.29,1.43,7.86,9.29,4.29,2.86,3.71,3.43,2.14,2.14,5.29,2.57,0.43,0.0,1.0,0.29,1.0,0.29,0.29,0.0,0.71,0.14,0.14,0.0,0.14,0.0,5.06,2.71,4.43,1.43,1.29,3.43,8.86,3.0,0.86,0.71,1.86,1.14,0.29,0.29,2.71,5.74,15.86,13650.0,-0.36
